Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,City,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Month,Profit Margin
ORD-15900,2023-12-04,2023-12-08,Standard,Myra Rao,Consumer,East,Bhubaneswar,Electronics,Copiers,79864.82,7,0.0,15238.59,2023-12,0.191
ORD-11313,2024-11-20,2024-11-21,Express,Isha Singh,Consumer,South,Bengaluru,Office Supplies,Art,886.52,3,0.3,156.64,2024-11,0.177
ORD-14283,2024-08-14,2024-08-21,Second Class,Meera Menon,Consumer,West,Mumbai,Furniture,Tables,111861.46,7,0.0,37544.86,2024-08,0.336
ORD-15078,2024-02-22,2024-02-28,Standard,Pari Bose,Home Office,South,Chennai,Electronics,Machines,14691.44,1,0.0,1631.94,2024-02,0.111
ORD-14481,2023-07-03,2023-07-07,Second Class,Vivaan Bose,Home Office,North,Delhi,Furniture,Chairs,81125.63,8,0.3,-1869.71,2023-07,-0.023
ORD-12466,2024-12-28,2024-12-30,Same Day,Sai Gupta,Home Office,North,Delhi,Electronics,Copiers,52197.08,3,0.3,8039.07,2024-12,0.154
ORD-13178,2024-10-17,2024-10-20,Second Class,Pari Bose,Home Office,North,Chandigarh,Furniture,Chairs,34108.86,2,0.15,4684.44,2024-10,0.137
ORD-12146,2023-03-08,2023-03-10,Express,Priya Rao,Corporate,South,Bengaluru,Office Supplies,Paper,11499.65,8,0.15,3062.26,2023-03,0.266
ORD-15413,2023-05-13,2023-05-17,Express,Aadhya Gupta,Corporate,North,Delhi,Office Supplies,Labels,2086.28,3,0.15,151.66,2023-05,0.073
ORD-19652,2024-12-10,2024-12-16,Express,Aadhya Gupta,Home Office,East,Guwahati,Office Supplies,Labels,2026.44,6,0.2,16.14,2024-12,0.008
ORD-17260,2023-11-18,2023-11-19,Second Class,Pari Desai,Home Office,West,Pune,Electronics,Machines,138802.74,8,0.1,54167.82,2023-11,0.39
ORD-17751,2023-03-14,2023-03-21,Same Day,Sanjay Menon,Home Office,East,Kolkata,Office Supplies,Binders,1637.26,6,0.0,105.3,2023-03,0.064
ORD-18160,2023-10-21,2023-10-26,Standard,Aarav Bose,Home Office,East,Bhubaneswar,Office Supplies,Envelopes,597.52,8,0.0,115.05,2023-10,0.193
ORD-11648,2024-05-11,2024-05-12,Second Class,Rohan Joshi,Home Office,East,Kolkata,Office Supplies,Envelopes,2570.48,1,0.4,162.17,2024-05,0.063
ORD-14715,2024-12-29,2025-01-03,Express,Priya Menon,Consumer,North,Chandigarh,Office Supplies,Paper,10554.74,6,0.0,1001.68,2024-12,0.095
ORD-14160,2024-09-06,2024-09-07,Second Class,Rohan Reddy,Home Office,South,Hyderabad,Office Supplies,Envelopes,905.38,1,0.0,233.58,2024-09,0.258
ORD-15948,2024-07-06,2024-07-07,Second Class,Aadhya Rao,Consumer,West,Surat,Furniture,Tables,11104.74,1,0.15,3145.04,2024-07,0.283
ORD-19370,2024-06-06,2024-06-07,Same Day,Pari Gupta,Corporate,West,Mumbai,Furniture,Storage,50865.0,3,0.0,13922.59,2024-06,0.274
ORD-13022,2023-05-19,2023-05-24,Second Class,Ananya Reddy,Home Office,North,Delhi,Office Supplies,Labels,1670.29,1,0.0,306.25,2023-05,0.183
ORD-19395,2024-05-05,2024-05-08,Standard,Aditya Patel,Corporate,South,Bengaluru,Electronics,Accessories,35259.79,3,0.4,7941.11,2024-05,0.225
ORD-18119,2023-09-20,2023-09-26,Second Class,Neha Pillai,Consumer,East,Kolkata,Electronics,Accessories,199675.85,7,0.3,15451.8,2023-09,0.077
ORD-17562,2023-12-26,2023-12-29,Second Class,Saanvi Chatterjee,Home Office,East,Kolkata,Furniture,Tables,35416.8,7,0.0,695.02,2023-12,0.02
ORD-13239,2024-11-11,2024-11-16,Same Day,Myra Bose,Consumer,East,Patna,Electronics,Accessories,98182.67,7,0.0,22528.93,2024-11,0.229
ORD-10881,2023-08-26,2023-08-27,Express,Karthik Joshi,Consumer,East,Patna,Furniture,Chairs,10872.08,2,0.4,74.51,2023-08,0.007
ORD-18473,2023-09-27,2023-09-29,Express,Kiara Singh,Corporate,North,Lucknow,Office Supplies,Art,4994.51,2,0.0,698.52,2023-09,0.14
ORD-13000,2024-07-05,2024-07-07,Second Class,Saanvi Pillai,Home Office,West,Ahmedabad,Furniture,Chairs,84380.99,5,0.4,14264.72,2024-07,0.169
ORD-10442,2023-12-08,2023-12-11,Standard,Neha Gupta,Corporate,North,Chandigarh,Electronics,Machines,74592.59,4,0.0,21296.55,2023-12,0.286
ORD-11504,2024-03-24,2024-03-27,Same Day,Arjun Bose,Consumer,South,Bengaluru,Office Supplies,Art,6653.6,4,0.2,480.6,2024-03,0.072
ORD-10746,2024-12-25,2025-01-01,Same Day,Sanjay Pillai,Consumer,South,Kochi,Electronics,Copiers,10163.66,4,0.3,1863.09,2024-12,0.183
ORD-14704,2023-02-23,2023-02-27,Standard,Aarav Pillai,Consumer,South,Kochi,Office Supplies,Paper,421.63,1,0.1,33.47,2023-02,0.079
ORD-13027,2024-11-06,2024-11-09,Same Day,Kiara Rao,Corporate,South,Bengaluru,Electronics,Machines,4886.57,1,0.2,1225.64,2024-11,0.251
ORD-14355,2023-09-02,2023-09-08,Second Class,Sai Iyer,Home Office,North,Delhi,Furniture,Storage,69492.45,3,0.4,15455.7,2023-09,0.222
ORD-19158,2023-04-22,2023-04-27,Standard,Ananya Bose,Corporate,West,Ahmedabad,Office Supplies,Envelopes,10536.12,5,0.4,1331.05,2023-04,0.126
ORD-17546,2024-08-16,2024-08-20,Express,Riya Rao,Home Office,North,Lucknow,Office Supplies,Labels,7356.01,6,0.2,1498.2,2024-08,0.204
ORD-16326,2024-12-01,2024-12-08,Express,Vihaan Reddy,Corporate,North,Chandigarh,Electronics,Accessories,99285.95,4,0.3,28115.82,2024-12,0.283
ORD-11934,2024-04-05,2024-04-11,Same Day,Ananya Joshi,Corporate,North,Delhi,Office Supplies,Art,4658.66,7,0.15,327.49,2024-04,0.07
ORD-15411,2024-09-07,2024-09-13,Second Class,Aditya Menon,Corporate,North,Lucknow,Electronics,Machines,169834.83,5,0.3,8944.04,2024-09,0.053
ORD-15510,2023-05-07,2023-05-10,Standard,Pari Nair,Consumer,West,Pune,Office Supplies,Art,15395.43,8,0.0,2751.87,2023-05,0.179
ORD-14961,2023-11-24,2023-11-25,Standard,Isha Gupta,Home Office,South,Kochi,Furniture,Chairs,53919.23,3,0.0,7079.42,2023-11,0.131
ORD-16347,2024-02-23,2024-03-01,Express,Ananya Joshi,Corporate,South,Kochi,Furniture,Tables,17884.98,1,0.3,-19.04,2024-02,-0.001
ORD-18114,2024-10-20,2024-10-25,Express,Priya Menon,Home Office,North,Delhi,Electronics,Accessories,123388.65,4,0.0,16326.86,2024-10,0.132
ORD-16408,2023-06-12,2023-06-13,Second Class,Pari Iyer,Home Office,East,Patna,Electronics,Phones,109657.78,5,0.3,28402.28,2023-06,0.259
ORD-12393,2023-10-24,2023-10-26,Standard,Isha Chatterjee,Corporate,North,Jaipur,Office Supplies,Binders,201.44,1,0.2,28.62,2023-10,0.142
ORD-13804,2023-03-08,2023-03-12,Same Day,Neha Iyer,Home Office,North,Lucknow,Electronics,Phones,79980.8,8,0.2,17439.32,2023-03,0.218
ORD-10577,2024-12-31,2025-01-02,Express,Rohan Joshi,Consumer,West,Surat,Electronics,Machines,82171.09,4,0.15,24504.63,2024-12,0.298
ORD-18665,2023-05-19,2023-05-25,Standard,Anika Chatterjee,Consumer,South,Bengaluru,Electronics,Machines,45005.56,3,0.0,5806.55,2023-05,0.129
ORD-10313,2024-07-24,2024-07-29,Standard,Isha Singh,Corporate,West,Mumbai,Furniture,Storage,4256.74,1,0.0,762.35,2024-07,0.179
ORD-12755,2023-07-29,2023-08-03,Second Class,Sanjay Kulkarni,Home Office,South,Hyderabad,Office Supplies,Labels,521.75,3,0.15,127.23,2023-07,0.244
ORD-16499,2023-06-13,2023-06-16,Same Day,Vihaan Kulkarni,Corporate,North,Delhi,Furniture,Storage,119362.85,5,0.3,13822.09,2023-06,0.116
ORD-10295,2023-05-13,2023-05-18,Standard,Saanvi Bose,Corporate,East,Bhubaneswar,Furniture,Tables,168912.18,7,0.3,9162.42,2023-05,0.054
ORD-10608,2023-12-15,2023-12-22,Same Day,Priya Menon,Corporate,South,Bengaluru,Electronics,Accessories,230789.11,6,0.0,38505.91,2023-12,0.167
ORD-12916,2024-02-11,2024-02-13,Express,Sanjay Joshi,Home Office,East,Patna,Furniture,Storage,119226.17,6,0.0,28604.39,2024-02,0.24
ORD-16059,2024-10-05,2024-10-09,Standard,Isha Bose,Home Office,South,Kochi,Office Supplies,Labels,1986.52,2,0.0,603.29,2024-10,0.304
ORD-19708,2023-02-22,2023-02-24,Second Class,Arjun Bose,Home Office,North,Lucknow,Office Supplies,Art,4344.34,3,0.15,1499.82,2023-02,0.345
ORD-14140,2024-07-20,2024-07-23,Second Class,Sai Patel,Home Office,East,Bhubaneswar,Electronics,Machines,150002.5,5,0.3,19508.47,2024-07,0.13
ORD-12049,2023-08-14,2023-08-20,Same Day,Reyansh Joshi,Consumer,North,Lucknow,Electronics,Phones,23299.39,1,0.15,1552.39,2023-08,0.067
ORD-14936,2024-07-29,2024-08-02,Same Day,Sai Chatterjee,Home Office,West,Ahmedabad,Furniture,Storage,156838.62,7,0.3,24654.15,2024-07,0.157
ORD-16113,2024-11-26,2024-11-30,Standard,Aditya Desai,Consumer,West,Mumbai,Office Supplies,Labels,4968.57,4,0.0,292.53,2024-11,0.059
ORD-14854,2024-04-07,2024-04-08,Express,Pari Bose,Home Office,South,Kochi,Electronics,Phones,62385.74,8,0.0,19614.68,2024-04,0.314
ORD-13814,2023-09-28,2023-10-05,Standard,Karthik Nair,Home Office,West,Ahmedabad,Electronics,Phones,96318.75,3,0.0,29138.46,2023-09,0.303
ORD-15123,2023-10-10,2023-10-15,Second Class,Ananya Joshi,Home Office,North,Delhi,Electronics,Accessories,58096.52,2,0.1,22443.72,2023-10,0.386
ORD-10948,2024-03-10,2024-03-14,Standard,Arjun Bose,Consumer,North,Chandigarh,Furniture,Storage,46436.74,3,0.4,3988.98,2024-03,0.086
ORD-16350,2023-06-24,2023-06-28,Second Class,Sai Nair,Corporate,North,Lucknow,Office Supplies,Binders,13664.61,7,0.4,3111.06,2023-06,0.228
ORD-18251,2023-11-09,2023-11-12,Second Class,Sai Sharma,Home Office,South,Kochi,Electronics,Machines,52358.58,4,0.0,15884.44,2023-11,0.303
ORD-11383,2023-12-07,2023-12-08,Second Class,Vivaan Verma,Consumer,South,Hyderabad,Electronics,Phones,20857.5,3,0.0,1695.59,2023-12,0.081
ORD-16510,2024-11-09,2024-11-14,Express,Isha Reddy,Home Office,South,Chennai,Furniture,Chairs,8697.06,1,0.0,2736.83,2024-11,0.315
ORD-13174,2023-02-16,2023-02-23,Same Day,Anika Rao,Consumer,South,Kochi,Electronics,Machines,224809.62,6,0.0,20477.8,2023-02,0.091
ORD-13712,2023-05-04,2023-05-06,Same Day,Anika Menon,Corporate,South,Kochi,Electronics,Machines,234526.61,7,0.3,57401.7,2023-05,0.245
ORD-13047,2024-01-23,2024-01-25,Same Day,Aditya Iyer,Consumer,East,Bhubaneswar,Furniture,Bookcases,26982.34,2,0.2,0.47,2024-01,0.0
ORD-11009,2023-12-04,2023-12-10,Standard,Sanjay Joshi,Corporate,South,Chennai,Office Supplies,Paper,4783.53,2,0.4,940.16,2023-12,0.197
ORD-17667,2023-02-11,2023-02-13,Standard,Aditya Singh,Home Office,East,Guwahati,Electronics,Accessories,63892.53,5,0.3,9459.11,2023-02,0.148
ORD-16262,2023-02-19,2023-02-22,Express,Karthik Patel,Consumer,East,Guwahati,Electronics,Machines,21658.77,1,0.0,2356.28,2023-02,0.109
ORD-17248,2023-12-20,2023-12-24,Second Class,Vivaan Singh,Consumer,West,Pune,Furniture,Chairs,23604.58,6,0.1,5727.82,2023-12,0.243
ORD-14655,2024-11-06,2024-11-13,Standard,Kiara Patel,Home Office,West,Ahmedabad,Furniture,Chairs,63161.51,4,0.0,16168.27,2024-11,0.256
ORD-17590,2023-05-02,2023-05-07,Second Class,Ishaan Iyer,Corporate,West,Ahmedabad,Electronics,Phones,5833.28,5,0.0,571.31,2023-05,0.098
ORD-18242,2024-07-05,2024-07-12,Express,Ishaan Iyer,Consumer,West,Mumbai,Office Supplies,Envelopes,14717.84,6,0.3,2787.54,2024-07,0.189
ORD-15448,2023-06-11,2023-06-17,Standard,Ishaan Reddy,Corporate,South,Kochi,Electronics,Phones,180990.41,5,0.0,38316.12,2023-06,0.212
ORD-14547,2023-08-17,2023-08-22,Express,Diya Bose,Home Office,North,Chandigarh,Electronics,Phones,45107.96,3,0.3,12773.46,2023-08,0.283
ORD-13170,2023-09-07,2023-09-13,Express,Neha Sharma,Consumer,North,Jaipur,Furniture,Bookcases,18627.32,1,0.2,1980.8,2023-09,0.106
ORD-11445,2024-09-08,2024-09-13,Second Class,Aarav Patel,Consumer,South,Hyderabad,Office Supplies,Labels,2490.66,2,0.3,186.39,2024-09,0.075
ORD-12651,2024-08-11,2024-08-18,Second Class,Anika Gupta,Corporate,West,Pune,Electronics,Copiers,130627.52,5,0.15,38841.45,2024-08,0.297
ORD-17346,2023-01-06,2023-01-09,Second Class,Myra Chatterjee,Corporate,West,Ahmedabad,Office Supplies,Art,12090.96,8,0.0,3200.13,2023-01,0.265
ORD-16136,2023-03-09,2023-03-15,Same Day,Vivaan Chatterjee,Home Office,West,Surat,Office Supplies,Labels,16774.66,7,0.3,4726.1,2023-03,0.282
ORD-15728,2023-05-30,2023-06-01,Express,Saanvi Menon,Corporate,North,Lucknow,Furniture,Tables,79807.02,4,0.1,17861.5,2023-05,0.224
ORD-11798,2023-04-27,2023-05-02,Standard,Rohan Kulkarni,Corporate,North,Chandigarh,Office Supplies,Art,2281.66,4,0.2,455.82,2023-04,0.2
ORD-14242,2024-03-12,2024-03-13,Express,Kiara Bose,Home Office,West,Ahmedabad,Furniture,Bookcases,18981.37,1,0.3,3464.69,2024-03,0.183
ORD-19660,2023-11-30,2023-12-07,Second Class,Aadhya Bose,Corporate,East,Bhubaneswar,Electronics,Phones,123188.28,6,0.0,11221.95,2023-11,0.091
ORD-16242,2024-12-16,2024-12-21,Same Day,Aarav Patel,Consumer,East,Patna,Electronics,Machines,52641.07,5,0.1,-2813.48,2024-12,-0.053
ORD-18790,2024-07-22,2024-07-25,Same Day,Anika Desai,Consumer,South,Bengaluru,Office Supplies,Labels,15677.66,7,0.4,2789.41,2024-07,0.178
ORD-17330,2024-10-18,2024-10-22,Express,Neha Nair,Consumer,East,Bhubaneswar,Office Supplies,Art,2289.66,1,0.3,473.33,2024-10,0.207
ORD-10157,2024-12-07,2024-12-13,Express,Anika Desai,Home Office,East,Bhubaneswar,Office Supplies,Art,6357.51,8,0.2,1545.18,2024-12,0.243
ORD-11330,2023-03-16,2023-03-19,Second Class,Sai Gupta,Home Office,North,Delhi,Office Supplies,Paper,3492.3,4,0.0,1430.58,2023-03,0.41
ORD-10826,2023-05-28,2023-06-03,Standard,Vihaan Pillai,Corporate,West,Ahmedabad,Electronics,Phones,15215.06,1,0.0,1074.4,2023-05,0.071
ORD-12139,2024-03-02,2024-03-09,Express,Aadhya Chatterjee,Home Office,South,Hyderabad,Electronics,Machines,247962.04,8,0.1,86218.86,2024-03,0.348
ORD-19757,2024-06-28,2024-07-03,Second Class,Diya Iyer,Consumer,South,Chennai,Furniture,Bookcases,49643.37,2,0.0,9692.55,2024-06,0.195
ORD-11582,2023-07-27,2023-07-28,Same Day,Ananya Singh,Home Office,West,Ahmedabad,Furniture,Tables,24934.11,2,0.3,3974.26,2023-07,0.159
ORD-18828,2023-07-23,2023-07-30,Second Class,Diya Bose,Corporate,West,Pune,Furniture,Chairs,56229.46,6,0.2,8568.13,2023-07,0.152
ORD-14282,2024-12-11,2024-12-17,Express,Saanvi Joshi,Home Office,West,Mumbai,Furniture,Chairs,22274.22,2,0.4,527.14,2024-12,0.024
ORD-19050,2024-08-28,2024-09-04,Second Class,Diya Gupta,Corporate,East,Bhubaneswar,Furniture,Chairs,9754.38,1,0.0,2110.67,2024-08,0.216
ORD-14301,2024-05-25,2024-05-27,Second Class,Vihaan Menon,Home Office,South,Chennai,Furniture,Bookcases,26655.36,7,0.2,6274.8,2024-05,0.235
ORD-16482,2024-02-06,2024-02-10,Same Day,Anika Iyer,Consumer,West,Pune,Furniture,Bookcases,14367.14,1,0.15,2232.71,2024-02,0.155
ORD-15626,2024-09-14,2024-09-17,Second Class,Kiara Singh,Home Office,East,Guwahati,Electronics,Accessories,187639.49,7,0.1,40870.19,2024-09,0.218
ORD-15130,2024-06-21,2024-06-24,Second Class,Saanvi Rao,Home Office,West,Mumbai,Office Supplies,Binders,4643.72,2,0.0,1577.36,2024-06,0.34
ORD-10968,2023-07-02,2023-07-05,Same Day,Aadhya Rao,Corporate,South,Chennai,Office Supplies,Binders,7471.62,3,0.2,1234.38,2023-07,0.165
ORD-11968,2023-08-12,2023-08-14,Second Class,Reyansh Joshi,Consumer,West,Surat,Office Supplies,Binders,16089.72,6,0.4,3016.97,2023-08,0.188
ORD-12610,2024-07-23,2024-07-24,Second Class,Neha Kulkarni,Consumer,North,Delhi,Furniture,Storage,53408.76,3,0.15,17436.54,2024-07,0.326
ORD-12809,2023-09-27,2023-09-29,Second Class,Vivaan Nair,Consumer,North,Delhi,Electronics,Copiers,150148.19,8,0.4,17683.37,2023-09,0.118
ORD-11469,2024-11-29,2024-12-04,Second Class,Myra Chatterjee,Corporate,South,Chennai,Electronics,Machines,36398.75,2,0.4,6289.91,2024-11,0.173
ORD-15969,2024-06-15,2024-06-16,Standard,Vivaan Menon,Corporate,West,Mumbai,Electronics,Machines,137491.08,5,0.3,29493.59,2024-06,0.215
ORD-16740,2024-05-21,2024-05-24,Same Day,Rohan Menon,Home Office,West,Mumbai,Electronics,Accessories,34042.71,6,0.1,7655.26,2024-05,0.225
ORD-12101,2023-04-29,2023-04-30,Second Class,Ananya Nair,Corporate,South,Chennai,Office Supplies,Labels,3336.99,5,0.0,408.62,2023-04,0.122
ORD-15162,2023-03-12,2023-03-15,Standard,Karthik Iyer,Corporate,West,Mumbai,Electronics,Machines,75005.92,3,0.15,17441.68,2023-03,0.233
ORD-10177,2024-02-28,2024-03-02,Express,Pari Iyer,Consumer,East,Guwahati,Furniture,Bookcases,37420.28,5,0.0,4067.27,2024-02,0.109
ORD-19214,2023-04-20,2023-04-25,Express,Priya Pillai,Corporate,West,Pune,Office Supplies,Binders,2887.29,2,0.2,272.71,2023-04,0.094
ORD-19536,2023-03-12,2023-03-16,Express,Karthik Desai,Consumer,East,Guwahati,Office Supplies,Paper,2973.36,1,0.2,475.35,2023-03,0.16
ORD-11828,2023-10-01,2023-10-08,Same Day,Priya Joshi,Corporate,South,Hyderabad,Electronics,Accessories,15615.06,5,0.0,5415.38,2023-10,0.347
ORD-11406,2024-11-07,2024-11-09,Second Class,Isha Patel,Corporate,South,Bengaluru,Electronics,Machines,17802.74,1,0.0,2718.81,2024-11,0.153
ORD-10110,2023-03-11,2023-03-15,Second Class,Ishaan Verma,Consumer,West,Ahmedabad,Electronics,Copiers,122269.57,8,0.15,18822.05,2023-03,0.154
ORD-14181,2024-01-18,2024-01-19,Same Day,Karthik Iyer,Home Office,North,Jaipur,Office Supplies,Envelopes,4905.1,2,0.1,591.51,2024-01,0.121
ORD-18509,2024-11-29,2024-12-06,Second Class,Vivaan Reddy,Consumer,South,Chennai,Electronics,Phones,125082.56,8,0.15,7637.7,2024-11,0.061
ORD-12337,2023-08-22,2023-08-24,Standard,Riya Bose,Consumer,West,Pune,Furniture,Storage,50409.44,3,0.15,7429.19,2023-08,0.147
ORD-15311,2024-06-05,2024-06-10,Standard,Riya Pillai,Consumer,West,Pune,Electronics,Copiers,75341.71,2,0.15,7501.81,2024-06,0.1
ORD-16098,2023-05-29,2023-06-02,Express,Vivaan Gupta,Consumer,West,Ahmedabad,Office Supplies,Art,2492.44,7,0.0,128.88,2023-05,0.052
ORD-14188,2024-04-03,2024-04-06,Express,Rohan Bose,Corporate,South,Kochi,Furniture,Chairs,18123.14,3,0.4,1437.84,2024-04,0.079
ORD-18104,2024-05-16,2024-05-20,Second Class,Aadhya Gupta,Home Office,South,Kochi,Furniture,Tables,90522.11,6,0.0,21069.84,2024-05,0.233
ORD-12649,2024-09-20,2024-09-23,Same Day,Anika Bose,Home Office,West,Pune,Electronics,Machines,20485.57,5,0.0,5165.97,2024-09,0.252
ORD-14747,2024-09-28,2024-10-01,Second Class,Myra Gupta,Corporate,North,Jaipur,Office Supplies,Paper,336.81,1,0.0,18.37,2024-09,0.055
ORD-17364,2024-01-05,2024-01-10,Same Day,Pari Chatterjee,Corporate,West,Pune,Office Supplies,Binders,21274.22,8,0.2,3175.1,2024-01,0.149
ORD-12186,2024-01-22,2024-01-28,Standard,Aditya Pillai,Corporate,South,Hyderabad,Furniture,Chairs,40916.53,3,0.0,3320.45,2024-01,0.081
